patent_id,inventor_id,name,location_id
10431333,fl:ka_ln:teichert-1,Katrin Teichert,2f6f9109-16c8-11ed-9b5f-1234bde3cd05
9044359,fl:ca_ln:kreuzer-1,Carsten Heinrich Kreuzer,3db8fc9a-16c8-11ed-9b5f-1234bde3cd05
10094819,fl:su_ln:kochhar-1,Sunil Kochhar,323c9f59-16c8-11ed-9b5f-1234bde3cd05
11601405,fl:ch_ln:yang-1373,Chui Woong Yang,3eb30168-16c8-11ed-9b5f-1234bde3cd05
9048987,fl:mo_ln:elidrissi-1,Moulay Rachid Elidrissi,8801128f-16c8-11ed-9b5f-1234bde3cd05
D1031386,fl:cu_ln:chen-26,Cuihong Chen,974dc4fe-49af-11ed-9879-1234bde3cd05
11977384,fl:ta_ln:kim-402,Taehyun Kim,1aeb3c64-16c8-11ed-9b5f-1234bde3cd05
11153804,fl:ha_ln:yu-196,Haifeng Yu,3b444e27-16c8-11ed-9b5f-1234bde3cd05
11315784,fl:ma_ln:muramatsu-5,Makoto Muramatsu,8cebe14b-16c8-11ed-9b5f-1234bde3cd05
10329911,fl:da_ln:skidmore-1,David A. Skidmore,eddfca64-16c7-11ed-9b5f-1234bde3cd05
D819127,fl:mi_ln:habig-1,Michael M. Habig,edfab6f6-16c7-11ed-9b5f-1234bde3cd05
9184446,fl:yu_ln:itou-6,Yuichi Itou,8bf20cf7-16c8-11ed-9b5f-1234bde3cd05
11184770,fl:ju_ln:wang-161,Jun Wang,8cf85cbc-49af-11ed-9879-1234bde3cd05
12301558,fl:ra_ln:yarlagadda-2,Ramesh Yarlagadda,4affd925-16c8-11ed-9b5f-1234bde3cd05
10979810,fl:da_ln:chan-49,Danny Chan,c402c9a6-16c7-11ed-9b5f-1234bde3cd05
11473761,fl:da_ln:gist-1,David Ryan Gist,efb44514-0315-11ef-b443-0a1e30f810d7
10932935,fl:ja_ln:birk-2,Janel A. Birk,c2e23e18-16c7-11ed-9b5f-1234bde3cd05
11527467,fl:ja_ln:kong-3,Jackson Chung Peng Kong,6f02823a-16c8-11ed-9b5f-1234bde3cd05
11608378,fl:me_ln:campbell-5,Melody G. Campbell,4affd925-16c8-11ed-9b5f-1234bde3cd05
11529834,fl:mi_ln:boisclair-1,Michel Boisclair,a2719482-16c8-11ed-9b5f-1234bde3cd05
10385738,fl:be_ln:bierbaumer-1,Benjamin Bierbaumer,9266922f-16c8-11ed-9b5f-1234bde3cd05
11863984,fl:ja_ln:lindenauer-1,Jay Lindenauer,5836da24-16c8-11ed-9b5f-1234bde3cd05
D998890,fl:zh_ln:shi-37,Zhifeng SHI,3575f6ac-16c8-11ed-9b5f-1234bde3cd05
9426957,fl:jo_ln:kramer-17,Joachim Ernst Kramer,312703a2-16c8-11ed-9b5f-1234bde3cd05
11134843,fl:yo_ln:kim-627,Youn Tae Kim,3eb30168-16c8-11ed-9b5f-1234bde3cd05
D802028,fl:ta_ln:li-34,Tat Wah Li,9d7f66d3-16c8-11ed-9b5f-1234bde3cd05
11346576,fl:ju_ln:kwon-38,Jun Seok Kwon,1aeb68dd-16c8-11ed-9b5f-1234bde3cd05
10205618,fl:ti_ln:ji-7,Tingfang Ji,1893009c-16c8-11ed-9b5f-1234bde3cd05
12505516,fl:iv_ln:lobatohoyos-1,Ivan Pedro Lobato Hoyos,3c493b09-16c8-11ed-9b5f-1234bde3cd05
10384724,fl:ke_ln:stockmeier-2,Kevin C. Stockmeier,eddeb29b-16c7-11ed-9b5f-1234bde3cd05
11961895,fl:sh_ln:siddiqui-14,Shahab Siddiqui,66ed009b-16c8-11ed-9b5f-1234bde3cd05
10587356,fl:ra_ln:kumar-94,Ravinder Kumar,bbb2befd-16c7-11ed-9b5f-1234bde3cd05
9329774,fl:je_ln:satterfield-2,Jesse Clay Satterfield,5836da24-16c8-11ed-9b5f-1234bde3cd05
11823674,fl:pi_ln:furman-1,Piotr Furman,19c16878-16c8-11ed-9b5f-1234bde3cd05
11706840,fl:vi_ln:nagarajan-1,Viswanath Nagarajan,13f05eea-16c8-11ed-9b5f-1234bde3cd05
11031357,fl:ko_ln:in-1,Kouichi In,9df03bf7-16c8-11ed-9b5f-1234bde3cd05
10260182,fl:ja_ln:thompson-32,James M. Thompson,c77c75a7-16c7-11ed-9b5f-1234bde3cd05
12278219,fl:pe_ln:andrews-5,Peter Scott Andrews,03373085-16c8-11ed-9b5f-1234bde3cd05
10245607,fl:jo_ln:mcmichael-6,Jonathan R. McMichael,ebad5dfc-16c7-11ed-9b5f-1234bde3cd05
9299064,fl:ja_ln:chein-1,Jason Shih Shen Chein,816cf2b5-16c8-11ed-9b5f-1234bde3cd05
