patent_id,assignee_id,name,assignee_type
9508322,f03635c8-6b6c-4f2b-bb6c-b52678f56aae,QUALCOMM Incorporated,2.0
11732708,a26f90c6-69b8-4e8b-9f5b-bfe43a1a404e,Graco Minnesota Inc.,2.0
11568717,62a9aa55-4efd-4416-92c1-4c7530ccf949,"Martigold Enterprises, LLC",2.0
10955336,bf2b5bc2-00b1-4a3a-98a1-79e091d08558,Innovative Micro Technology,2.0
9137930,331621c5-64ce-4538-af8e-0f5513742cf3,Lenovo Enterprise Solutions (Singapore) Pte Ltd.,3.0
8993643,58ef0a9f-a4ed-4f56-a0ff-a396e7a1b491,Water Security Corporation,2.0
11946295,88638056-5bb5-4b60-8c17-24f1402946dc,Witte Automotive GmbH,3.0
12465990,cb5367eb-ebac-459a-b013-d92860572522,"Nissan Motor Co., Ltd.",3.0
11264724,9f6cb05e-bce3-4142-aad5-7f7b38a158ec,TE CONNECTIVITY SERVICES GMBH ET AL.,3.0
11915845,ac853623-5a99-45be-94e6-c4915fa768f4,"Shin-Etsu Chemical Co., Ltd.",3.0
11772477,87bbd77e-54e0-4d95-9c1b-7843963c09eb,TOYOTA JIDOSHA KABUSHIKI KAISHA,3.0
12412386,9971439c-aa8f-4cf2-b787-3b80dc992cfa,NEC CORPORATION,3.0
D801587,895fc9a0-3868-4237-9c68-4118879f52b2,"DAQRI, LLC",2.0
8949289,230c3997-b227-4afd-be76-b42f549c0a5a,"NOTEVAULT, INC.",2.0
10804143,88c962da-6df3-4f86-85ba-14c24c3cb600,"Taiwan Semiconductor Manufacturing Company, Ltd.",3.0
9094729,ab02ca9c-5bcf-4acf-bdec-82b74c97c861,SONY ELECTRONICS INC.,2.0
10021834,fb12bbbc-4a8a-4b50-86a4-0bf6619cf644,CNH Industrial America LLC,2.0
10956711,d9be2bbd-edfc-4202-bf9d-e3cf4c344b73,Trax Technology Solutions Pte Ltd.,3.0
10938564,06cf80f1-42ba-42a6-b203-2a79447fca97,"Optum, Inc.",2.0
9532651,86e2d957-14eb-48e5-a42c-a1d571171da4,BUDDHA SHENG INTERNATIONAL LTD.,3.0
11462204,8fd3c1d5-fae2-4f35-bcbe-c266e5cd93ef,SIEMENS GAMESA RENEWABLE ENERGY A/S,3.0
